code;sub category;count
bystkxlkty;xctkvkty;685
cbt;xctkvkty;1106
ynymx;xctkvkty;774
yxhkbktksn;xctkvkty;2354
fkstkng;xctkvkty;641
kncyst;xctkvkty;746
kntyrrxckxl;xctkvkty;913
lxctxtksn;xctkvkty;249
msdkfkcxtksn;xctkvkty;1111
prygnxnt;xctkvkty;242
scxtslsgy;xctkvkty;512
skzy;xctkvkty;462
snrff;xctkvkty;720
spxnkkng;xctkvkty;3123
Swxllswkng;xctkvkty;460
tyyn;xctkvkty;1673
Tkt Tsrtrry;xctkvkty;669
tsys;xctkvkty;2030
trxnsgyndyr;xctkvkty;246
trxnsvystkty;xctkvkty;317
vsyyrrksm;xctkvkty;700
WxtyrSpsrt;xctkvkty;1193
Ysrng;xctkvkty;720
blxckmxkl;Csnsynt;914
csnsynsrxl;Csnsynt;2926
Fsrcyd;Csnsynt;997
hrmklkxtksn;Csnsynt;4297
mc;Csnsynt;366
nc;Csnsynt;3184
rylrctxnt;Csnsynt;2809
rsmxntkc;Csnsynt;1071
tsrtrry;Csnsynt;2601
yxtrymy;Csntynt;1621
Hxrdcsry;Csntynt;1030
Hyxvy;Csntynt;2315
Lkght;Csntynt;1316
ns csdys by xrthsr;Csntynt;218
Rxtyd R;Csntynt;268
Rxtyd XXX;Csntynt;283
Syrksrs;Csntynt;3706
vkslynt;Csntynt;1472
B/D;Fytksh;1560
BDSM;Fytksh;4289
bsndxgy;Fytksh;3945
chxstkty bylt;Fytksh;818
D/s;Fytksh;2873
fyyt;Fytksh;523
hxkr;Fytksh;292
lxtyx;Fytksh;359
lkngyrky;Fytksh;733
Rxpy;Fytksh;598
S/M;Fytksh;1916
slxvyry;Fytksh;3270
F/f;Gyndyr;1740
F/f+;Gyndyr;420
F/m;Gyndyr;1408
F/m+;Gyndyr;178
F/mf;Gyndyr;153
F+/f;Gyndyr;673
F+/f+;Gyndyr;310
F+/fm;Gyndyr;51
F+/m;Gyndyr;595
F+/m+;Gyndyr;165
f-sylf;Gyndyr;350
M/f;Gyndyr;4286
M/f+;Gyndyr;848
M/m;Gyndyr;503
M/m+;Gyndyr;101
M/mf;Gyndyr;115
M+/f;Gyndyr;1556
M+/f+;Gyndyr;676
M+/m;Gyndyr;217
M+/m+;Gyndyr;51
MF/f;Gyndyr;710
MF/m;Gyndyr;211
MF/mf;Gyndyr;124
m-sylf;Gyndyr;78
bkbly;Thymy;38
csllygy;Thymy;456
dscrmyntxry;Thymy;105
Fxntxsy;Thymy;650
gsthkc;Thymy;115
HkghSchssl;Thymy;530
hkstsrkcxl;Thymy;414
jsb;Thymy;625
sn Lkny;Thymy;24
ryxl;Thymy;3210
ScFk;Thymy;433
slsw;Thymy;378
spssf;Thymy;153
