code;sub category;count
bestiality;Activity;685
cbt;Activity;1106
enema;Activity;774
exhibition;Activity;2354
fisting;Activity;641
incest;Activity;746
interracial;Activity;913
lactation;Activity;249
modification;Activity;1111
pregnant;Activity;242
scatology;Activity;512
size;Activity;462
snuff;Activity;720
spanking;Activity;3123
Swallowing;Activity;460
teen;Activity;1673
Tit Torture;Activity;669
toys;Activity;2030
transgender;Activity;246
transvestite;Activity;317
voyeurism;Activity;700
WaterSport;Activity;1193
Young;Activity;720
blackmail;Consent;914
consensual;Consent;2926
Forced;Consent;997
humiliation;Consent;4297
mc;Consent;366
nc;Consent;3184
reluctant;Consent;2809
romantic;Consent;1071
torture;Consent;2601
Extreme;Content;1621
Hardcore;Content;1030
Heavy;Content;2315
Light;Content;1316
no codes by author;Content;218
Rated R;Content;268
Rated XXX;Content;283
Serious;Content;3706
violent;Content;1472
B/D;Fetish;1560
BDSM;Fetish;4289
bondage;Fetish;3945
chastity belt;Fetish;818
D/s;Fetish;2873
feet;Fetish;523
hair;Fetish;292
latex;Fetish;359
lingerie;Fetish;733
Rape;Fetish;598
S/M;Fetish;1916
slavery;Fetish;3270
F/f;Gender;1740
F/f+;Gender;420
F/m;Gender;1408
F/m+;Gender;178
F/mf;Gender;153
F+/f;Gender;673
F+/f+;Gender;310
F+/fm;Gender;51
F+/m;Gender;595
F+/m+;Gender;165
f-self;Gender;350
M/f;Gender;4286
M/f+;Gender;848
M/m;Gender;503
M/m+;Gender;101
M/mf;Gender;115
M+/f;Gender;1556
M+/f+;Gender;676
M+/m;Gender;217
M+/m+;Gender;51
MF/f;Gender;710
MF/m;Gender;211
MF/mf;Gender;124
m-self;Gender;78
bible;Theme;38
college;Theme;456
documentary;Theme;105
Fantasy;Theme;650
gothic;Theme;115
HighSchool;Theme;530
historical;Theme;414
job;Theme;625
On Line;Theme;24
real;Theme;3210
ScFi;Theme;433
slow;Theme;378
spoof;Theme;153
