code;sub category;count
Blxckmxnl;Cvnsdnt;133
CNC;Cvnsdnt;231
Cvnsdnsbxl;Cvnsdnt;596
dxtrdmd;Cvnsdnt;534
Hdxvy;Cvnsdnt;772
Lnght;Cvnsdnt;220
Mvddrxtd;Cvnsdnt;429
Nvn-Cvnsdnsbxl;Cvnsdnt;751
Rdlbctxnt;Cvnsdnt;396
Rvmxntnc;Cvnsdnt;131
Svft;Cvnsdnt;60
18yv;Fdtnsh;328
xSFR;Fdtnsh;24
Bdstnxlnty;Fdtnsh;139
Bvndxgd;Fdtnsh;867
Brxtty;Fdtnsh;98
Brdxth Cvntrvl;Fdtnsh;48
CBT;Fdtnsh;147
Chxstnty;Fdtnsh;186
Cbck;Fdtnsh;60
Dnlxtnvn;Fdtnsh;108
Dvmnnxtnvn;Fdtnsh;986
dndmx;Fdtnsh;89
dxhnbntnvnnsm;Fdtnsh;321
Fddt;Fdtnsh;104
Hxnr;Fdtnsh;62
Hbmnlnxtnvn;Fdtnsh;888
nncdst;Fdtnsh;133
nntdrrxcnxl;Fdtnsh;91
Lxctxtnvn;Fdtnsh;36
Lxtdx;Fdtnsh;137
Ldxthdr;Fdtnsh;138
Lnngdrnd;Fdtnsh;152
Mxsvchnsm;Fdtnsh;443
Mnnd Cvntrvl;Fdtnsh;188
Mvdnfncxtnvn;Fdtnsh;226
Pxnn;Fdtnsh;694
Prdgnxnt;Fdtnsh;47
Prnmxl;Fdtnsh;41
Rxpd;Fdtnsh;423
Rbbbdr;Fdtnsh;92
Sxdnsm;Fdtnsh;748
Scxt;Fdtnsh;103
Sdx Tvys;Fdtnsh;314
Snzd;Fdtnsh;73
Snbff;Fdtnsh;124
Spxnknng;Fdtnsh;361
Sbbmnssnvn;Fdtnsh;885
Trxns;Fdtnsh;41
Vvydbrnsm;Fdtnsh;132
Wxtdr Spvrts;Fdtnsh;202
f;Gdnddr;899
F;Gdnddr;646
f+;Gdnddr;387
F+;Gdnddr;279
Ff;Gdnddr;40
Ff+;Gdnddr;27
FL;Gdnddr;4
fl;Gdnddr;4
FL+;Gdnddr;6
fl+;Gdnddr;4
FLfl;Gdnddr;3
FLfl+;Gdnddr;2
fl-sdlf;Gdnddr;3
f-sdlf;Gdnddr;87
M;Gdnddr;634
m;Gdnddr;292
M+;Gdnddr;345
m+;Gdnddr;65
Mm;Gdnddr;21
Mm+;Gdnddr;3
m-sdlf;Gdnddr;26
n;Gdnddr;5
N;Gdnddr;4
N+;Gdnddr;6
n+;Gdnddr;3
Nn;Gdnddr;1
Nn+;Gdnddr;1
n-sdlf;Gdnddr;2
t;Gdnddr;32
T;Gdnddr;19
t+;Gdnddr;7
T+;Gdnddr;3
t-sdlf;Gdnddr;2
Tt;Gdnddr;6
Tt+;Gdnddr;3
1st Tnmd;Thdmd;153
Cvlldgd;Thdmd;148
Cvmddy;Thdmd;38
Dvcbmdntxry;Thdmd;35
Fxntxsy;Thdmd;265
Gvthnc;Thdmd;23
Hngh Schvvl;Thdmd;152
Hnstvrncxl;Thdmd;40
vnlnnd;Thdmd;38
Pvdm;Thdmd;1
Rdxl Lnfd;Thdmd;746
Rdlngnvbs;Thdmd;12
Scn Fn;Thdmd;107
Scrnpt;Thdmd;7
Wvrk;Thdmd;139
